1000 1
0 254 75
0 346 30
0 385 10
0 700 58
0 797 91
1 376 82
1 424 17
1 450 96
1 480 80
1 505 61
1 658 52
1 930 48
2 140 14
2 195 64
2 246 4
2 312 74
2 420 10
2 660 53
2 780 34
2 996 68
3 128 19
3 243 97
3 753 7
3 904 16
4 714 17
4 751 40
4 914 65
5 61 29
5 356 52
5 458 19
5 545 58
5 667 37
5 693 89
5 706 29
5 840 73
5 881 73
6 94 94
6 432 90
6 713 72
6 908 81
7 192 53
7 558 55
7 722 74
7 847 88
8 314 72
8 529 80
8 703 62
9 216 72
9 277 74
9 398 38
9 454 28
9 828 25
9 966 20
10 16 56
10 166 84
10 372 53
10 667 71
11 594 29
11 616 95
11 687 32
11 780 34
11 789 47
11 964 11
12 290 36
12 353 38
12 595 69
12 770 83
13 158 97
13 282 38
13 643 85
13 761 82
14 18 93
14 257 71
14 270 30
14 393 32
14 526 26
14 915 22
14 924 51
15 216 24
15 428 11
15 478 76
15 525 91
15 610 3
16 27 77
16 238 95
16 241 52
16 272 99
16 378 37
16 543 69
16 590 54
16 969 6
17 153 18
17 788 58
17 956 83
17 989 4
18 236 49
18 631 74
18 757 57
18 836 66
20 551 38
20 866 93
21 155 35
21 472 51
21 651 4
21 691 7
22 87 24
22 611 61
22 759 1
23 18 61
23 46 83
23 184 41
23 198 23
23 335 88
24 203 14
24 731 11
24 751 32
24 789 77
24 981 12
25 144 6
25 700 26
25 746 2
25 855 49
25 870 58
26 152 19
26 313 95
26 572 65
26 833 55
26 933 34
27 22 95
27 115 58
27 147 16
27 626 69
27 694 79
27 854 89
27 900 79
28 27 36
28 460 55
28 489 33
28 639 50
28 741 40
28 774 55
28 808 12
29 5 66
29 296 32
29 390 19
29 530 51
29 598 30
29 825 58
30 35 96
30 371 69
30 892 27
30 951 82
30 962 45
31 478 90
31 608 85
31 615 38
31 724 93
31 768 8
31 777 16
31 928 90
31 978 85
32 41 28
32 192 32
32 664 75
32 982 38
33 22 63
33 414 42
33 889 66
33 977 18
34 417 6
34 457 80
34 533 29
34 592 97
34 666 54
34 683 33
34 987 58
35 259 77
36 79 32
36 116 9
36 201 82
36 532 85
36 743 52
36 773 27
37 71 39
37 181 85
37 490 17
37 838 71
38 3 56
38 106 42
38 137 47
38 507 63
38 863 18
38 892 80
39 267 48
39 284 25
39 315 22
39 591 96
39 608 23
39 950 6
40 8 37
40 163 60
40 250 37
40 406 20
40 453 58
40 504 56
40 583 6
41 63 81
41 669 65
41 781 86
42 145 82
42 217 52
42 386 86
42 576 62
42 619 92
43 143 58
43 387 41
43 475 24
43 498 61
43 504 30
43 537 57
43 616 56
43 745 81
44 188 89
44 230 29
44 276 44
44 352 33
44 811 32
44 869 43
45 606 68
45 629 35
45 655 49
45 710 21
45 779 56
46 367 76
46 723 98
47 274 30
47 307 82
47 673 4
47 754 13
47 971 74
48 47 66
48 63 65
48 70 23
48 153 65
48 305 92
48 526 15
48 775 33
49 114 9
49 174 90
49 232 38
49 383 27
49 623 84
49 628 18
50 56 45
50 93 55
50 396 66
50 978 74
51 448 85
51 816 36
51 817 44
51 877 100
52 454 91
52 554 39
53 83 41
53 225 27
53 256 28
53 504 37
53 894 5
54 284 3
54 355 55
54 363 44
54 450 41
54 626 96
54 798 78
54 885 23
55 169 88
55 297 96
55 445 73
55 562 77
55 658 65
55 741 67
55 831 33
55 876 12
56 752 92
56 873 33
56 921 32
