1000 1
0 138 529
0 195 28
0 317 187
0 424 693
0 631 995
0 829 163
0 843 751
0 853 4
0 888 368
1 387 546
1 399 362
1 459 256
1 614 217
1 819 527
2 58 798
2 296 194
2 476 996
2 720 691
2 943 441
2 967 257
3 23 967
3 113 976
3 131 680
3 397 345
3 553 669
3 599 22
4 599 727
4 693 678
4 716 825
4 821 420
4 862 585
4 914 965
5 40 3
5 272 703
5 279 311
5 729 6
5 846 286
5 870 224
5 924 129
5 950 578
6 42 994
6 129 554
6 206 203
6 222 483
6 282 455
6 439 417
6 464 852
6 548 344
6 560 825
6 646 664
6 679 883
6 856 478
6 865 568
7 77 452
7 93 339
7 118 850
7 345 321
7 533 358
7 661 121
7 743 25
7 758 392
7 904 726
7 915 710
7 964 275
8 15 18
8 145 186
8 208 407
8 371 418
8 717 243
8 731 684
8 736 718
8 753 836
8 897 547
8 918 780
8 957 671
9 59 385
9 86 831
9 215 112
9 261 742
9 316 351
9 321 220
9 352 301
9 506 817
9 694 689
9 703 574
9 918 830
10 137 693
10 170 384
10 212 410
10 325 140
10 453 908
10 575 322
10 649 196
10 843 622
10 952 216
11 329 819
11 339 576
11 362 106
11 419 257
11 458 270
11 489 669
11 633 860
12 101 163
12 110 318
12 112 784
12 124 787
12 343 72
12 480 899
12 640 846
12 687 608
12 725 326
12 742 13
12 793 315
12 860 489
12 880 191
13 38 476
13 86 522
13 139 654
13 515 69
13 540 307
13 548 772
13 577 350
13 607 666
13 740 584
13 866 866
13 998 241
14 42 387
14 301 800
14 413 136
14 575 978
14 607 533
14 614 881
14 755 805
14 849 52
14 929 595
15 30 130
15 147 722
15 248 910
15 508 619
15 536 240
15 620 91
15 694 26
15 821 660
15 866 891
16 103 963
16 126 970
16 249 227
16 317 848
16 334 639
16 352 946
16 380 490
16 628 834
17 57 899
17 102 131
17 108 321
17 129 549
17 131 509
17 151 495
17 163 712
17 210 576
17 404 238
17 474 131
17 494 886
17 578 400
17 587 735
17 762 906
17 795 885
17 965 436
18 27 347
18 47 444
18 70 438
18 99 660
18 121 853
18 166 344
18 180 286
18 290 340
18 341 954
18 398 770
18 463 969
18 464 37
18 796 861
18 844 309
18 874 392
18 898 566
18 925 491
18 998 598
19 1 3
19 41 753
19 261 363
19 310 678
19 421 671
19 476 271
19 620 645
19 632 697
19 865 985
19 988 196
20 36 881
20 58 674
20 152 666
20 463 107
20 532 645
20 551 581
20 671 579
21 345 199
21 348 277
21 417 353
21 490 583
21 562 582
21 563 857
21 725 601
21 795 848
21 871 491
22 185 740
22 201 882
22 240 881
22 256 206
22 260 828
22 478 934
22 635 729
22 778 541
22 779 318
22 905 544
22 973 799
23 36 388
23 72 76
23 73 137
23 501 601
23 523 123
23 776 92
23 887 495
23 936 379
23 948 391
23 950 341
24 223 896
24 246 868
24 335 419
24 351 323
24 391 63
24 462 768
24 516 831
24 538 655
24 692 50
24 845 652
25 235 316
25 294 182
25 300 526
25 366 552
25 415 556
25 586 98
25 602 864
26 107 185
26 162 285
26 380 71
26 414 720
26 453 468
26 669 275
26 746 905
26 763 840
26 797 993
26 842 167
26 889 451
27 83 421
27 190 176
27 224 81
27 266 613
27 329 100
27 478 266
27 532 530
27 625 141
27 825 675
27 950 123
27 960 197
27 970 571
28 136 146
28 384 514
28 417 706
28 425 171
28 445 953
28 515 498
28 591 853
28 605 22
28 691 180
28 715 767
28 730 762
28 841 958
29 374 737
29 480 433
29 519 568
29 554 223
29 562 762
29 753 792
29 773 122
29 861 831
29 993 157
30 0 355
30 189 443
30 222 774
30 389 57
30 448 311
30 495 101
30 540 111
30 672 44
30 686 268
30 837 136
30 859 651
30 880 311
30 996 76
31 5 933
31 404 749
31 415 48
31 571 956
31 595 544
31 704 475
31 718 645
31 763 578
31 785 25
31 850 380
31 970 338
32 74 40
32 186 248
32 200 111
32 251 644
32 317 519
32 350 702
32 436 919
32 512 288
32 582 242
32 583 274
32 800 390
32 871 283
32 932 238
32 983 631
33 43 99
33 81 453
33 192 35
33 473 293
33 659 175
