1000 1
0 24 6954
0 51 4762
0 62 2308
0 204 7978
0 242 4082
0 280 3635
0 311 9506
0 340 3234
0 513 6455
0 537 102
0 555 64
0 565 1280
0 589 4786
0 605 6272
0 658 776
0 703 7508
0 917 4912
0 990 3149
1 75 8780
1 100 679
1 559 4724
1 580 5487
1 699 8248
1 707 1145
1 886 2631
1 919 6579
2 20 3278
2 82 9766
2 89 5783
2 174 9406
2 190 8689
2 215 3667
2 241 4741
2 315 2200
2 322 5527
2 369 2804
2 413 8969
2 512 9119
2 585 8986
2 651 1318
2 763 631
2 790 3340
2 822 8462
2 897 8561
2 938 8426
2 996 4640
3 199 5687
3 253 2059
3 259 607
3 326 740
3 352 7122
3 436 6279
3 533 5514
3 724 8205
3 739 7153
4 0 9698
4 201 2733
4 286 113
4 326 1238
4 380 8007
4 385 9305
4 417 1358
4 604 3787
4 640 1761
4 798 7378
4 942 7671
5 108 6989
5 378 1066
5 444 3013
5 558 6300
5 729 9664
5 833 3514
6 106 2859
6 144 3521
6 234 1088
6 396 5778
6 717 6918
6 938 4567
7 25 3781
7 127 1734
7 159 7711
7 295 9835
7 456 7544
7 468 13
7 485 8190
7 511 213
7 521 6986
7 568 2115
7 677 3744
8 22 1783
8 179 3389
8 291 7894
8 310 6885
8 468 9935
8 474 140
8 486 2282
8 560 3412
8 818 8863
9 89 4170
9 213 6557
9 273 3608
9 344 4894
9 370 2075
9 612 4386
9 769 7898
9 860 6054
10 64 224
10 112 5538
10 138 4888
10 142 1470
10 199 3032
10 219 131
10 272 412
10 280 409
10 325 5185
10 503 5063
10 679 5190
10 862 7095
10 896 9556
10 904 4363
11 126 6255
11 193 3124
11 376 2334
11 392 7210
11 419 1791
11 565 2460
11 583 3860
11 671 3068
12 297 4479
12 332 7549
12 421 9445
12 623 5709
12 764 1469
12 804 7706
13 145 4098
13 192 7401
13 194 7716
13 341 2226
13 348 3524
13 380 9487
13 564 5193
13 779 1916
13 904 3416
13 997 9750
14 81 1137
14 83 1942
14 104 7087
14 188 3633
14 556 3085
15 47 7775
15 54 8308
15 138 2498
15 155 9589
15 353 8751
15 368 1630
15 605 6094
15 606 2556
15 802 7330
15 854 2992
15 872 9330
16 157 4266
16 238 2971
16 282 5132
16 626 488
16 721 5375
16 769 2146
16 826 6846
17 1 9630
17 134 8201
17 306 9553
17 412 4058
17 473 5156
17 495 1039
17 591 6401
17 639 5181
18 4 366
18 104 1860
18 203 5840
18 331 9933
18 374 1043
18 418 5959
18 426 9799
18 496 5197
18 587 6519
18 685 3035
18 711 2742
18 752 1008
18 797 3209
18 842 8994
18 860 3525
18 924 9333
18 931 692
18 986 1081
19 208 3009
19 262 7882
19 520 8491
19 769 3903
19 813 9919
19 866 7858
19 880 3550
19 946 6399
20 127 283
20 279 853
20 298 7008
20 405 867
20 513 6040
20 540 4334
20 638 8966
20 660 9430
20 667 9223
20 706 2983
20 728 9318
20 744 7623
21 475 113
21 698 862
21 725 1225
21 858 497
21 894 1754
21 913 3438
21 916 5032
22 130 3393
22 227 4758
22 537 3049
22 546 1066
22 631 1550
22 984 3323
23 112 8191
23 140 6179
23 197 3427
23 214 5812
23 335 8835
23 393 3558
23 649 6238
23 822 9140
23 993 9387
24 72 8010
24 120 4774
24 136 7976
24 280 7931
24 523 3351
24 857 6264
24 882 3768
25 127 3223
25 137 2161
25 197 5929
25 243 385
25 253 5346
25 409 3411
25 576 1714
25 638 9669
25 668 99
25 753 5696
26 134 4625
26 220 4403
26 446 3803
26 674 1638
26 758 8799
26 797 2462
26 893 4140
26 907 8202
26 980 9100
27 8 4486
27 183 5317
27 193 3837
27 513 133
27 544 4625
27 575 8528
27 656 8593
27 708 283
27 710 3797
27 946 8487
28 36 9785
28 323 1311
28 410 5709
28 475 7647
28 552 4605
28 566 649
28 872 4298
29 15 9699
29 172 2790
29 222 7810
29 332 9344
29 339 8633
29 464 9215
29 556 4696
29 590 6643
29 600 8905
29 666 4219
29 733 8005
29 792 6475
29 813 9092
29 847 8575
29 903 4075
30 40 4377
30 82 8983
30 222 5848
30 229 1068
30 492 8885
30 604 6633
30 659 8005
30 866 710
30 888 4543
30 945 1444
31 69 504
31 208 6474
31 360 5786
31 690 5664
31 840 4046
32 36 1622
32 612 5343
32 938 1846
32 988 812
33 28 4782
33 397 1878
33 768 8381
33 836 2487
33 839 5700
33 970 4356
34 150 3924
34 264 7433
34 271 822
34 650 9240
34 702 9928
34 777 8358
34 986 8545
35 149 3358
35 367 8418
35 380 8284
35 589 9417
35 611 9006
35 846 8676
35 857 734
36 27 3838
36 351 9040
36 451 3117
36 651 4725
36 808 5968
36 828 16
37 924 3372
37 976 2843
38 22 9131
38 42 5672
38 508 4316
38 511 4882
38 605 8758
38 688 1643
38 963 3448
38 982 5290
39 35 8996
39 119 1706
39 124 7704
39 227 5004
39 263 3090
39 294 8103
39 390 2144
39 404 1557
39 690 8624
39 793 2633
39 867 1432
39 994 4677
40 30 2890
40 34 1063
40 94 5572
40 141 6064
40 182 2185
40 248 505
40 322 3334
40 449 6778
40 518 2454
