100 1
0 4 10
0 8 2
0 28 3
0 42 10
0 53 3
0 66 9
0 72 3
0 81 6
0 90 5
1 11 4
1 12 2
1 13 3
1 27 4
1 35 5
1 50 10
1 54 3
1 55 5
1 71 4
2 40 2
2 44 8
2 48 2
2 50 5
2 82 5
2 83 10
2 86 1
2 92 9
2 93 6
3 2 2
3 25 3
3 30 6
3 38 4
3 41 8
3 50 6
3 68 6
3 75 6
3 98 7
4 12 10
4 18 9
4 24 7
4 54 8
4 79 6
4 87 2
5 3 3
5 7 4
5 18 4
5 33 2
5 35 3
5 38 5
5 59 2
5 66 10
5 73 6
5 97 1
6 8 3
6 10 2
6 24 6
6 40 10
6 58 5
6 59 9
6 82 2
7 16 8
7 19 10
7 33 7
7 42 4
7 61 2
7 62 5
7 68 4
7 73 3
7 74 6
7 90 1
7 92 6
8 16 6
8 19 4
8 21 10
8 35 5
8 37 2
8 46 6
8 48 1
8 55 10
8 69 3
8 80 4
9 10 10
9 31 10
9 39 7
9 40 4
9 46 7
9 59 4
9 64 4
9 65 1
9 66 9
9 71 4
9 82 5
9 88 4
9 97 3
10 6 3
10 25 10
10 44 2
10 46 2
10 58 4
10 73 9
10 74 7
10 95 6
10 96 1
11 8 9
11 26 3
11 36 1
11 40 6
11 44 3
11 46 9
11 53 2
11 56 10
11 62 3
11 64 2
11 85 2
12 6 2
12 8 1
12 18 1
12 32 3
12 60 10
12 62 10
12 63 10
12 65 4
12 76 8
12 80 5
12 93 3
12 95 3
13 10 1
13 16 7
13 24 2
13 39 8
13 53 5
13 60 2
13 65 9
13 70 1
13 94 2
14 8 5
14 9 5
14 11 8
14 12 4
14 13 7
14 49 9
14 56 3
14 71 6
14 81 4
14 84 7
14 89 5
15 52 6
15 55 10
15 65 9
15 75 7
15 83 10
16 43 8
16 53 9
16 79 4
16 95 9
16 96 2
17 0 4
17 3 1
17 14 3
17 29 6
17 36 9
17 53 3
17 57 10
17 59 1
18 0 6
18 38 5
18 44 7
18 52 5
18 54 5
18 58 8
18 74 9
18 82 3
18 89 4
18 92 6
19 39 7
19 42 1
19 57 6
19 59 7
19 80 3
19 83 1
19 90 8
19 94 10
20 25 8
20 28 3
20 34 3
20 35 1
20 44 1
20 66 9
20 68 8
20 81 6
21 7 6
21 24 3
21 36 3
21 40 2
21 41 7
21 47 10
21 51 1
21 78 2
21 82 4
21 86 9
21 88 4
21 93 9
21 99 9
22 39 3
22 48 2
22 54 9
22 80 3
23 11 1
23 54 2
23 64 3
23 71 7
23 72 9
23 80 2
23 83 3
23 90 10
24 3 10
24 7 1
24 8 1
24 22 4
24 38 5
24 49 8
24 84 3
24 86 9
25 10 6
25 20 9
25 22 10
25 34 3
25 44 1
25 49 10
25 55 8
25 62 4
25 70 10
25 82 7
25 98 4
26 27 1
26 44 2
26 48 7
26 51 3
26 52 4
26 59 1
26 66 7
26 71 9
26 72 2
26 84 8
26 90 2
27 13 8
27 16 3
27 21 10
27 40 1
27 47 9
27 58 6
27 60 6
27 67 4
28 2 2
28 12 8
28 13 8
28 17 9
28 18 5
28 23 2
28 27 1
28 45 4
28 60 8
28 91 5
28 99 9
29 13 8
29 28 5
29 37 3
29 41 4
29 42 9
29 44 7
29 50 4
29 80 8
29 81 9
29 82 2
29 86 9
29 90 1
30 1 3
30 6 6
30 8 9
30 9 9
30 37 8
30 82 4
30 90 1
30 97 9
31 5 9
31 7 2
31 23 4
31 39 2
31 46 7
31 64 7
31 66 10
31 78 7
31 81 5
31 82 5
31 88 1
31 89 3
31 97 7
32 5 10
32 6 7
32 13 4
32 23 3
32 49 10
32 57 9
32 62 7
32 69 3
32 70 6
32 78 4
32 86 7
32 93 1
32 98 6
33 18 8
33 42 9
33 48 3
33 55 4
33 68 1
33 75 3
33 76 5
33 79 8
33 87 2
34 1 8
34 19 4
34 54 4
34 75 7
34 84 4
35 0 8
35 3 9
35 16 5
35 22 2
35 38 8
35 48 5
35 93 8
36 8 7
36 10 8
36 12 2
36 16 9
36 26 8
36 27 5
36 28 9
36 43 8
36 50 3
36 51 1
36 57 4
36 61 6
36 63 7
36 65 8
36 66 2
36 69 5
36 74 9
37 0 9
37 5 7
37 9 9
37 14 4
37 28 3
37 30 4
37 61 8
37 89 6
37 92 4
38 10 1
38 15 4
38 24 1
38 83 10
38 85 8
39 15 5
39 21 9
39 60 5
39 63 1
39 72 6
39 87 9
39 94 5
39 95 1
40 2 3
40 9 8
40 21 1
40 28 8
40 30 10
40 42 10
40 62 3
40 86 3
41 3 9
41 16 7
41 21 7
41 81 7
41 82 10
41 93 2
42 6 1
42 23 2
42 28 8
42 38 7
42 39 7
42 41 9
42 48 7
42 49 3
42 74 2
42 75 6
42 87 6
42 94 10
42 95 3
43 15 6
43 20 4
43 35 8
43 37 2
