1000 1
0 523 86
5 403 34
6 629 65
7 129 87
7 821 28
12 197 71
13 702 71
13 981 44
14 572 21
15 253 82
15 384 75
16 51 3
18 304 42
19 828 9
22 212 1
22 780 73
22 905 77
23 161 62
27 211 15
28 210 65
29 240 60
30 5 100
33 483 67
35 93 9
35 331 66
35 598 87
36 31 68
38 482 82
38 593 90
39 530 50
39 536 41
43 95 86
45 236 94
45 454 37
45 683 53
46 551 44
48 125 9
48 776 94
50 253 11
51 547 16
52 118 20
52 659 67
54 83 80
54 97 52
54 734 55
57 834 85
60 546 83
61 497 50
63 540 1
65 545 74
66 55 24
68 546 7
69 258 80
69 482 4
73 3 9
73 686 59
74 793 93
74 838 80
75 301 11
75 381 44
76 220 50
79 331 87
79 609 99
79 696 30
79 855 90
80 479 68
80 543 20
82 388 96
82 797 27
82 968 34
83 905 11
84 446 26
84 508 54
87 56 73
89 934 3
91 520 54
93 499 38
93 556 3
94 543 51
94 853 32
96 293 26
97 308 67
98 281 96
98 764 81
101 993 45
103 925 14
104 376 71
104 510 74
105 330 60
106 403 24
106 962 31
107 9 5
107 427 46
109 246 51
111 443 11
115 91 78
116 828 73
117 41 18
117 972 91
120 57 38
120 598 75
122 197 28
123 224 65
123 324 33
124 765 85
124 859 45
125 801 6
126 646 34
127 234 22
127 387 89
127 547 82
128 270 88
132 757 5
133 31 24
133 652 17
134 436 90
134 590 57
137 115 54
137 993 49
139 898 18
141 502 23
144 819 32
145 153 57
145 458 42
146 609 83
146 625 16
148 44 3
148 101 23
148 249 6
148 831 59
150 488 100
151 917 49
153 82 37
153 494 46
153 642 92
154 275 96
154 959 88
155 943 51
155 967 48
157 646 40
158 5 90
158 637 10
159 379 4
160 763 32
161 25 52
163 389 6
163 642 60
163 742 69
165 232 16
165 762 99
166 188 91
166 583 62
166 959 26
167 244 61
167 358 61
168 449 14
168 679 36
169 465 2
169 965 49
174 52 71
174 790 97
175 55 40
175 216 55
178 126 92
178 481 71
178 568 10
179 293 27
179 677 86
180 384 31
181 287 11
183 144 32
183 334 82
