1000 1
0 74 66
0 142 62
0 164 3
0 167 77
0 268 4
0 363 49
0 470 69
0 473 37
0 558 98
0 703 70
1 22 67
1 138 46
1 160 54
1 240 81
1 298 100
1 387 84
1 475 35
1 550 50
1 569 53
1 707 64
1 712 49
1 763 49
1 887 59
1 928 41
2 0 49
2 158 72
2 316 92
2 469 32
2 489 11
2 761 41
2 903 54
2 924 98
2 936 18
3 10 90
3 265 70
3 288 73
3 367 48
3 438 86
3 535 67
3 764 79
3 788 50
3 796 83
3 827 79
3 929 78
3 964 9
4 149 21
4 162 30
4 227 24
4 347 94
4 443 53
4 757 64
5 117 31
5 138 22
5 247 36
5 347 4
5 464 97
5 643 8
5 677 29
5 694 38
5 803 30
5 873 93
6 20 70
6 105 68
6 184 2
6 406 61
6 502 20
6 534 24
6 605 43
6 666 3
6 719 19
6 728 52
6 850 73
7 118 92
7 303 95
7 364 67
7 434 60
7 461 80
7 489 11
7 620 13
7 750 88
7 831 67
7 854 62
8 137 72
8 158 24
8 252 44
8 567 86
8 888 3
8 997 76
9 118 62
9 168 38
9 325 57
9 458 80
9 474 47
9 548 87
9 637 94
9 733 85
9 742 65
9 866 88
10 252 79
10 685 98
10 881 28
10 958 94
10 992 37
11 85 78
11 126 37
11 287 92
11 426 28
11 472 84
11 638 10
11 901 62
11 998 46
12 63 6
12 76 28
12 157 41
12 216 46
12 247 55
12 412 63
12 818 72
12 871 73
12 877 89
13 277 65
13 291 64
13 342 30
13 358 87
13 415 26
13 433 65
13 532 56
13 544 97
13 563 37
13 612 26
13 678 17
13 688 8
13 886 9
14 353 71
14 478 65
14 741 53
14 864 49
14 873 8
14 953 29
15 21 79
15 98 40
15 207 4
15 238 10
15 287 30
15 411 4
15 428 37
15 480 79
15 503 96
15 595 1
15 644 56
15 795 57
15 859 54
16 102 68
16 203 53
16 220 58
16 261 38
16 326 20
16 373 70
16 430 79
16 576 34
16 598 53
16 854 78
16 910 51
16 941 98
17 58 15
17 71 92
17 100 48
17 466 95
17 613 38
17 682 16
17 804 36
17 920 43
17 929 31
17 991 66
18 164 43
18 174 89
18 178 49
18 218 20
18 293 27
18 316 51
18 430 28
18 465 71
18 519 51
18 681 67
18 771 30
18 779 8
18 896 9
18 941 13
18 958 66
