1000 1
0 749 7514
2 217 2321
2 747 1127
3 643 4358
6 829 8111
8 445 1777
16 813 2275
17 664 7173
19 508 8208
20 425 2446
20 686 6913
21 955 3245
22 605 9116
23 933 4189
25 139 6457
25 382 4321
25 436 8806
27 9 3522
27 70 1780
28 145 428
28 887 5059
29 144 8900
33 623 4149
36 529 4282
37 104 6448
37 798 9602
38 539 9546
39 277 3935
39 404 3734
39 447 201
39 867 4946
41 130 9877
42 102 7387
42 165 6870
43 436 8223
43 795 3197
44 535 9129
49 942 6861
50 791 9351
52 198 3789
53 109 8120
54 312 1069
54 346 4722
55 671 9088
55 858 4485
56 207 4585
56 940 2748
61 569 8479
61 834 3339
61 934 9003
64 807 1704
65 974 644
68 2 9439
70 946 3599
71 408 9561
71 860 9564
72 531 6314
73 932 6595
74 100 3117
75 61 566
75 101 9284
75 542 4287
77 261 4217
77 398 7005
77 803 9479
77 972 2445
78 413 8926
78 447 9421
80 408 7757
81 625 5075
81 634 2871
82 436 8745
82 557 1842
82 986 4161
84 906 3028
86 43 4818
87 842 3928
88 562 4901
88 576 3544
88 952 3814
90 165 1594
90 422 9104
91 762 2700
91 876 8593
92 846 4234
92 944 3400
94 145 9277
94 376 4097
97 9 3206
97 340 9139
98 207 4194
99 420 4779
99 953 1201
104 928 9652
105 480 2253
105 505 4258
105 920 1009
106 941 5229
107 491 7243
109 963 8987
111 235 6866
111 669 9043
111 836 5458
112 41 5154
112 265 729
112 517 8878
113 236 9588
115 319 1147
115 416 358
118 206 2217
118 357 9289
120 366 2176
120 589 1362
120 723 4535
121 207 7769
123 168 1324
123 754 8680
125 55 2569
126 160 5800
127 464 4372
128 24 4676
132 170 2852
133 450 546
134 390 8615
138 79 3219
138 228 8442
139 506 6409
140 962 8302
141 996 6664
146 346 7842
147 113 8343
147 256 9993
148 68 1703
149 343 9689
150 76 7389
153 307 3717
154 939 5431
154 975 6116
155 282 7982
155 862 3481
155 935 1660
155 991 572
156 386 1515
159 160 832
159 542 7707
160 350 9149
160 467 6844
162 760 2403
164 50 6326
164 106 962
164 508 8829
164 527 2835
164 889 9607
165 983 2507
167 191 3655
168 624 8596
168 716 7101
169 96 8495
171 226 6020
173 11 3975
173 788 3797
174 963 9970
176 256 1637
176 585 6396
178 978 1489
179 219 8662
179 464 3674
182 649 7573
182 656 7189
183 810 4677
184 934 8068
185 510 9907
186 340 4202
186 432 3955
189 465 2975
189 657 6424
189 702 4204
190 336 719
191 316 2544
191 625 2632
191 645 8077
191 880 6755
192 386 4666
193 710 7480
194 432 612
194 597 262
195 346 2329
196 352 9011
196 640 938
201 66 4891
202 302 8182
203 884 5493
204 357 940
205 424 4006
206 960 3909
207 626 8867
208 350 5991
210 823 4684
211 334 9492
211 843 7860
212 805 8355
213 0 5041
215 170 8366
215 371 6021
215 829 5618
218 186 6332
218 753 1789
220 324 9276
222 161 1993
223 537 5055
223 702 215
225 853 6868
225 961 2646
226 411 2540
226 845 583
227 493 6105
229 801 6369
229 840 3577
231 78 7803
231 154 8894
231 799 1506
233 843 3004
234 540 9369
234 592 7716
235 172 4002
235 365 8314
235 411 6451
239 665 2012
239 950 8343
242 96 399
244 988 5082
245 590 6844
245 794 7246
246 156 429
247 262 666
247 900 2617
249 713 4898
250 464 6646
252 623 2800
253 45 403
253 743 8790
255 645 9600
255 882 2578
256 247 1334
256 659 5464
257 364 6296
257 798 5221
258 568 3983
259 564 1822
260 295 4477
260 335 3525
262 864 7826
263 293 3637
265 368 7049
269 880 8174
270 542 743
271 398 1143
271 938 6019
273 649 3590
