1000 1
0 31 197
0 313 921
0 435 718
0 640 489
0 872 850
0 909 161
1 15 688
1 46 513
1 185 281
1 337 565
1 654 460
1 679 210
1 983 523
2 160 886
2 481 790
2 482 715
2 555 355
2 580 569
2 914 934
2 979 167
3 30 342
3 45 622
3 486 212
3 667 652
4 194 538
4 454 463
4 618 21
4 983 559
5 80 244
5 394 110
5 680 637
5 822 314
5 830 74
6 178 325
6 226 446
6 331 811
6 897 62
6 941 732
7 527 573
7 771 797
7 918 605
7 976 249
8 145 797
8 188 371
8 321 710
8 630 743
8 727 526
8 878 534
9 443 254
9 463 69
9 650 171
9 757 590
9 781 596
10 136 904
10 148 970
10 564 273
10 607 320
10 957 945
11 185 918
11 395 167
11 714 393
12 85 930
12 127 329
12 479 8
13 223 285
13 336 575
13 547 360
13 758 581
13 838 902
14 43 719
14 120 691
14 291 432
14 358 287
14 468 763
14 881 684
14 944 428
15 524 26
15 574 938
15 593 678
15 793 394
15 871 759
16 87 74
16 170 259
16 225 510
16 375 762
16 567 828
17 550 640
17 684 108
17 727 315
17 746 208
17 761 659
18 43 94
18 505 231
18 536 949
18 737 178
18 745 867
18 823 909
19 556 963
19 571 277
19 619 766
19 901 808
19 982 77
20 696 825
20 994 407
21 484 398
21 662 820
21 716 353
21 923 838
21 993 274
22 61 998
22 66 408
22 71 920
22 171 865
22 349 917
22 370 998
22 470 611
22 494 334
22 829 815
22 867 696
23 553 451
23 575 844
23 824 388
24 128 723
24 288 127
24 380 437
24 429 343
24 687 7
25 111 39
25 221 90
25 421 476
26 331 352
26 396 644
26 602 776
26 690 548
26 992 127
27 105 32
27 150 755
27 421 778
27 766 335
27 957 119
28 185 618
28 202 166
28 244 301
28 823 268
28 929 803
28 978 365
29 408 522
29 913 13
29 999 566
30 796 933
30 915 43
30 927 332
30 933 429
30 962 733
31 17 864
31 45 631
31 518 572
31 859 558
32 120 502
32 307 546
32 485 699
32 807 650
32 964 54
33 327 81
33 498 974
33 557 968
34 390 231
34 446 715
34 563 120
35 402 120
35 413 367
35 601 3
35 641 336
36 100 409
36 118 344
36 296 888
36 325 379
36 437 259
36 603 344
36 658 854
36 662 282
36 748 270
36 847 522
37 191 681
37 270 454
37 275 416
37 372 315
37 528 793
37 652 334
38 35 503
38 260 920
38 347 543
39 10 367
39 99 716
39 306 638
39 326 272
39 536 888
39 620 871
39 889 209
40 38 561
40 45 228
40 51 700
40 231 162
40 480 979
40 743 350
40 780 719
40 847 528
41 121 825
41 298 3
41 320 753
41 466 223
41 568 270
41 590 442
41 752 681
41 755 935
41 761 824
41 783 592
41 789 328
41 834 753
41 978 287
42 276 413
42 439 978
42 457 184
42 545 357
42 563 523
42 704 552
42 867 189
42 912 412
43 153 397
43 924 921
44 215 251
44 445 870
44 463 516
44 471 421
44 565 897
44 640 96
44 647 765
44 728 654
44 752 273
44 902 710
44 971 359
45 289 889
45 298 821
45 320 529
45 511 704
45 534 546
46 154 299
46 281 927
46 488 172
46 856 820
47 124 288
47 334 341
47 438 672
47 442 680
47 681 428
47 780 172
47 892 894
47 939 888
47 980 163
48 25 121
48 69 372
48 262 824
48 320 104
48 820 201
48 860 965
48 951 718
48 985 291
49 309 643
49 517 7
49 524 796
49 647 530
49 810 303
49 995 417
50 56 401
50 86 674
50 116 847
50 324 54
50 415 389
50 513 325
50 875 328
51 174 557
51 740 645
51 879 803
52 232 294
52 287 53
52 825 852
52 871 557
52 936 960
52 951 298
53 235 623
