1000 1
1 889 797
3 442 673
3 601 960
6 23 193
7 623 764
7 751 279
8 223 207
9 326 127
9 950 601
12 13 599
12 894 133
13 125 399
14 344 577
15 455 455
16 355 472
19 482 385
20 136 709
22 297 884
24 166 887
25 209 684
26 277 486
27 151 499
27 610 107
27 800 937
28 144 689
28 880 955
31 689 535
33 352 356
33 684 359
33 806 979
38 252 807
39 107 122
39 330 345
39 930 351
42 357 213
45 42 592
47 942 554
48 150 104
48 180 158
49 98 827
49 442 611
51 795 704
52 537 226
52 796 71
53 71 59
54 395 786
54 700 137
54 727 39
55 407 736
55 842 857
57 318 945
57 788 980
58 310 45
58 660 969
59 86 395
59 315 984
59 539 365
60 772 26
61 56 132
63 19 565
64 75 410
64 634 248
65 596 730
66 385 256
68 172 358
68 598 613
68 831 13
69 258 64
70 501 96
72 54 667
72 321 3
73 769 770
73 911 448
74 301 697
76 84 750
76 679 893
77 945 750
78 550 344
79 343 620
85 783 45
86 207 864
88 406 496
88 839 376
89 646 989
91 790 298
92 296 986
95 436 835
97 0 142
99 118 988
100 719 541
101 862 116
102 3 741
103 475 298
106 753 256
108 158 32
109 125 272
109 706 678
110 192 989
110 736 828
110 807 354
111 993 13
112 290 753
113 333 765
113 542 50
114 119 3
115 919 808
116 512 747
116 918 321
117 147 262
117 258 496
118 221 519
119 211 279
119 257 54
120 212 309
120 939 504
121 303 566
122 264 711
123 68 801
124 713 100
128 975 80
129 48 491
130 751 990
130 978 49
131 601 963
132 453 679
132 615 988
133 751 282
133 903 229
136 256 7
136 717 932
138 448 914
139 219 875
139 246 917
139 398 850
139 613 896
141 259 234
141 273 100
143 69 305
143 467 338
143 707 164
146 196 372
147 479 928
148 78 846
148 637 762
149 865 76
150 206 607
150 463 677
152 756 606
154 72 630
155 402 376
156 111 852
158 721 759
160 759 724
161 44 382
163 587 976
163 780 597
164 739 38
165 884 42
165 922 249
166 68 663
168 984 67
169 10 48
169 314 441
171 729 436
172 389 953
174 72 403
174 169 309
175 679 218
175 905 643
178 773 230
179 32 186
179 417 578
180 496 690
180 765 810
182 403 515
183 10 775
183 343 837
183 367 242
187 674 691
187 740 485
190 425 216
190 702 933
192 742 833
193 393 307
194 704 835
194 928 784
195 142 462
196 962 748
197 538 519
197 921 934
197 955 804
198 875 961
199 688 874
200 57 478
201 157 317
203 240 914
203 454 181
204 86 80
204 225 159
204 429 804
205 657 690
205 989 459
211 313 453
212 254 62
212 324 440
213 710 943
217 856 63
219 56 859
219 712 618
220 547 949
220 616 166
221 796 52
221 896 873
222 779 521
222 852 533
224 780 925
226 335 516
226 818 982
227 229 310
227 344 679
227 928 705
229 42 708
232 367 331
233 477 974
234 248 514
236 143 395
237 561 588
237 947 591
239 862 626
241 103 146
241 170 961
242 394 726
242 410 423
245 499 308
245 616 231
246 484 90
246 732 192
246 974 256
247 136 156
248 909 174
249 482 458
249 647 8
250 356 537
251 43 804
251 172 985
251 627 22
251 740 634
252 254 847
254 382 939
255 160 180
255 881 199
256 113 26
257 80 92
257 572 670
257 774 6
258 942 580
260 445 505
261 477 404
261 516 482
265 761 218
265 945 1000
266 855 427
269 882 801
270 677 51
271 33 479
271 487 733
271 761 191
272 479 761
272 610 93
272 896 254
272 978 27
273 910 358
275 17 313
276 746 869
277 386 639
278 138 333
278 455 950
278 827 144
287 311 47
287 728 877
288 68 883
288 565 145
289 354 20
289 599 767
290 19 269
290 842 796
291 954 498
293 506 486
295 137 472
295 998 694
296 88 622
296 167 841
296 650 257
297 946 223
299 58 708
299 731 803
300 76 642
301 553 227
302 890 835
304 251 710
305 405 446
306 395 766
306 764 964
307 662 432
308 343 389
309 263 533
309 317 299
310 696 39
311 124 243
311 370 236
311 526 389
311 944 721
312 111 128
313 304 235
314 265 193
314 777 151
314 928 918
316 321 630
316 669 766
317 78 323
318 307 324
318 686 458
319 287 272
320 461 954
321 122 676
322 356 691
323 492 763
324 43 931
324 68 812
324 295 618
327 384 521
327 950 125
329 576 200
330 859 695
332 315 774
333 556 961
334 477 725
334 822 530
335 829 925
337 768 613
339 291 599
340 898 133
342 429 712
343 127 603
345 319 759
345 324 570
346 27 533
347 988 90
349 12 222
350 108 638
352 459 527
352 797 663
353 556 848
354 21 131
354 498 516
355 92 372
355 482 940
357 38 33
357 490 108
357 707 496
358 943 851
359 242 535
359 509 140
360 95 495
360 586 13
361 277 677
361 572 12
361 909 726
362 864 519
365 311 229
367 858 489
368 495 778
368 653 582
369 537 377
369 863 172
369 877 724
371 592 824
373 74 882
374 770 171
375 243 417
376 170 930
376 863 525
376 899 28
377 651 763
378 24 410
379 442 330
381 104 233
381 147 469
381 288 428
381 617 762
381 667 761
383 721 500
383 756 514
384 288 656
386 167 394
386 522 254
387 603 48
387 677 228
388 24 995
390 410 618
395 0 622
398 965 126
399 279 291
400 781 750
401 276 280
401 379 573
401 381 271
403 222 570
404 400 847
404 544 120
405 593 928
407 282 955
408 575 470
408 850 982
409 487 644
410 787 46
412 158 16
413 615 319
413 953 587
415 288 920
415 645 575
416 330 222
416 778 714
417 835 405
417 961 145
417 989 321
418 223 525
418 370 327
418 415 664
418 923 853
420 190 244
420 437 908
420 713 352
420 832 71
