100 1
0 6 4
0 35 6
0 37 2
0 39 9
0 52 8
0 66 10
0 67 1
0 82 4
1 4 4
1 13 4
1 17 7
1 29 7
1 40 6
1 59 6
2 54 6
2 76 7
2 80 5
2 82 5
2 83 6
3 0 9
3 22 2
3 65 7
3 78 7
4 39 6
4 47 6
4 97 10
4 98 6
5 23 7
5 56 5
5 58 1
5 80 10
5 90 7
6 0 5
6 17 2
6 34 2
6 60 1
7 19 2
7 42 3
7 56 7
8 28 9
8 30 4
8 39 8
8 56 1
8 87 5
8 90 3
9 37 5
9 42 3
9 58 1
9 78 1
9 79 8
9 88 6
10 52 8
10 76 4
10 92 3
10 99 8
11 1 8
11 15 5
11 24 3
11 41 10
11 60 6
11 73 7
11 88 10
11 89 1
11 90 6
11 92 2
12 5 8
12 32 1
12 45 7
12 64 6
12 85 10
13 22 2
13 23 9
13 32 2
13 53 9
13 60 8
13 78 9
14 21 10
14 40 5
14 47 10
14 64 3
15 3 2
15 6 4
15 7 3
15 44 7
15 58 2
15 72 3
15 80 7
15 82 5
15 88 2
16 17 8
16 27 4
16 28 8
16 56 7
16 70 5
16 96 5
16 99 6
17 0 4
17 1 9
17 5 1
17 27 7
17 37 3
17 54 3
17 72 1
17 76 3
17 98 2
18 70 5
18 87 3
18 91 3
18 92 6
19 42 2
19 64 8
20 1 1
20 24 3
20 54 9
20 59 10
20 95 2
21 8 5
21 11 5
21 17 6
21 43 5
21 68 9
21 73 3
21 86 5
22 6 3
22 63 7
22 88 6
23 1 6
23 4 6
23 10 1
23 11 7
23 39 9
24 25 10
24 27 7
24 64 9
24 88 6
25 0 7
25 20 5
25 44 3
25 59 7
25 66 3
25 75 4
26 5 4
26 6 3
26 70 3
26 74 3
27 62 1
27 69 2
28 35 1
28 56 7
28 65 3
28 84 8
28 96 5
29 2 7
29 25 8
29 43 9
29 73 6
29 76 4
29 83 5
29 84 5
30 3 1
30 53 1
30 92 10
30 98 3
31 12 5
31 77 7
32 2 3
32 14 9
32 44 10
32 61 8
32 90 10
32 91 3
33 53 5
33 84 3
33 89 10
33 94 7
34 99 9
35 1 4
35 3 5
35 39 5
35 41 2
35 59 7
35 63 4
35 99 2
36 28 10
36 38 1
36 61 3
36 97 6
37 47 2
37 89 8
38 9 9
38 25 3
38 33 6
38 34 2
38 45 3
38 74 4
38 75 6
38 80 2
38 83 10
39 40 8
40 45 7
40 46 1
40 55 8
41 97 9
42 5 3
42 15 8
42 18 10
42 79 10
42 94 7
43 8 4
43 20 4
43 25 10
43 27 3
43 31 5
43 36 10
43 74 7
43 99 4
44 37 8
44 38 10
44 45 4
