100 1
1 57 5
1 76 6
2 30 10
2 88 6
4 76 10
4 79 8
5 61 8
5 83 3
9 97 5
10 17 1
10 53 5
13 79 2
13 85 7
15 19 9
15 82 8
15 96 2
16 54 4
16 68 7
18 57 7
18 64 9
19 29 2
19 86 6
22 25 1
22 88 9
23 55 6
23 95 1
27 36 2
28 72 2
28 81 1
29 97 2
30 67 1
30 86 7
31 41 2
32 89 3
32 96 8
33 95 3
36 75 4
38 2 2
39 14 5
39 23 3
41 27 7
41 49 2
42 77 6
44 62 1
45 11 5
45 14 3
45 36 5
45 59 7
45 90 6
46 7 6
46 19 6
46 72 3
48 33 1
50 37 8
53 70 4
56 10 3
56 70 4
58 30 9
59 3 3
60 55 4
61 30 4
61 66 6
62 38 1
62 89 4
63 24 9
65 3 2
65 46 3
65 83 8
66 10 9
66 12 7
66 25 8
67 41 8
69 77 4
70 15 6
70 18 3
70 66 8
72 42 5
73 16 6
73 56 3
73 77 4
75 2 2
75 53 9
75 81 9
76 41 4
78 63 3
79 52 2
79 70 7
81 99 10
82 80 7
83 25 9
83 91 10
85 18 2
86 25 1
86 29 7
87 94 1
87 97 6
88 9 2
89 73 2
89 97 2
91 1 5
91 34 3
91 36 9
91 62 9
91 65 8
94 68 9
96 69 10
97 86 9
97 94 8
98 91 10
98 92 4
99 61 3
