100 1
1 2 28
2 20 53
3 62 6
3 76 53
10 36 1
10 59 25
12 16 84
12 74 20
12 77 24
14 77 40
15 13 32
16 25 86
18 75 98
18 96 34
20 15 70
20 41 78
20 70 8
21 93 42
22 19 38
24 16 75
26 3 14
27 35 26
27 99 28
29 43 29
29 75 80
30 90 23
31 23 47
32 63 16
33 14 1
33 18 13
33 28 90
34 2 51
34 88 26
39 14 53
39 36 29
40 53 14
40 74 5
41 12 73
42 68 31
43 75 55
44 69 78
46 6 96
47 45 98
48 14 9
48 23 79
48 80 29
48 90 38
50 25 28
52 45 77
52 87 28
52 92 77
53 38 78
54 52 21
57 4 93
58 27 4
58 69 1
61 22 52
61 62 78
61 89 38
65 4 88
65 55 11
67 39 54
69 8 33
69 35 58
71 1 70
71 82 12
75 88 32
76 15 61
79 26 10
79 46 52
79 84 53
80 40 32
80 58 59
80 84 18
80 93 62
82 0 76
82 42 1
83 1 98
83 14 91
83 53 49
85 26 72
85 64 26
85 91 60
87 23 53
87 64 34
89 82 39
91 89 30
92 54 99
92 66 69
92 73 16
92 74 93
92 80 85
93 31 25
94 36 20
95 83 72
97 9 47
97 14 77
97 42 54
97 66 6
99 76 79
