1000 1
0 5 5108
0 732 7786
1 19 3026
1 228 157
1 978 3895
2 21 2817
2 71 57
2 153 6952
2 508 5636
2 684 7138
2 735 7974
2 759 9036
2 867 3766
3 250 5108
3 525 768
3 922 240
4 97 3670
4 146 7355
4 591 9515
5 42 8344
5 197 3600
5 289 3216
5 361 6611
5 398 8572
5 640 6360
6 123 7321
6 335 4184
6 715 4985
6 930 3474
6 960 892
6 997 9991
7 102 9626
7 439 198
7 801 4429
7 826 1438
8 207 7312
8 424 1332
8 530 5262
8 899 7669
9 308 4562
9 547 5445
10 0 2317
10 253 2847
10 400 1330
10 507 7079
11 245 5339
11 371 3224
11 558 5212
11 610 1085
12 3 3608
12 68 7201
12 121 1411
12 158 6961
12 280 338
12 310 7308
12 606 8229
12 613 9170
13 187 5831
13 235 8252
13 628 2385
13 662 2221
13 711 4576
13 759 527
13 834 7237
14 226 5072
14 276 3038
14 369 6685
14 533 4325
14 743 6275
14 810 4366
15 213 2271
15 488 1260
15 752 9874
15 807 2512
16 534 6479
17 385 4074
17 835 5604
17 868 4487
18 162 1148
18 548 7304
18 684 4609
19 128 1003
19 244 2434
19 261 9203
19 292 2493
19 547 5127
19 560 7047
20 277 8732
20 526 8789
20 529 7929
20 596 1201
20 618 7405
21 99 2449
21 109 1954
21 116 4855
21 332 1843
21 480 5808
21 536 3881
21 659 4548
21 736 5052
22 12 2243
22 307 1959
22 667 4776
22 926 1049
22 982 8821
23 127 8129
23 188 2266
23 199 6353
23 211 1854
23 319 5711
24 748 3223
25 97 2418
25 138 7433
25 210 5968
25 393 9697
25 415 8463
25 578 9885
26 181 1890
26 579 645
26 647 3849
26 756 9575
26 919 4791
27 167 8713
27 409 678
27 671 213
27 856 2799
27 952 5866
28 0 1184
28 12 322
28 132 5396
29 6 8978
29 22 9986
29 214 7900
29 365 8820
29 458 1074
29 879 5513
30 177 9271
30 189 8379
30 356 9491
30 394 2610
30 498 5506
30 575 8394
30 880 9021
31 135 2941
31 270 6027
31 830 4437
32 457 8390
32 567 7563
32 606 3549
32 690 6255
33 253 4922
33 607 6367
33 673 6526
33 853 9869
33 998 7451
34 49 5717
34 298 9365
34 591 4358
34 625 8816
34 748 1815
34 766 4843
35 33 3732
35 326 1859
35 647 7666
35 846 8126
35 930 4657
35 985 2081
36 286 9879
36 994 7397
37 263 9966
37 270 6462
37 949 5869
38 83 2240
38 116 8589
38 316 1011
38 351 66
38 411 1295
38 725 1625
38 769 4077
38 971 8955
39 46 5706
39 207 7240
39 440 1366
39 523 4124
39 889 96
39 915 3337
40 112 2370
40 347 4069
40 499 8299
40 708 9187
40 970 218
41 106 1206
41 286 3343
41 310 9892
41 446 9163
41 934 4245
42 93 7005
42 162 6833
42 282 9495
42 290 4412
42 292 5743
42 339 4448
42 508 3521
42 600 1539
42 911 2337
43 117 2832
43 341 3398
43 375 9318
43 581 7624
43 910 2299
44 373 2184
45 23 5582
45 114 7083
45 388 2353
46 272 2135
46 375 9405
46 893 2008
47 111 8117
47 340 6700
47 690 3862
47 780 7467
48 139 7251
48 363 5879
48 475 8926
48 680 7266
48 735 7031
48 799 724
48 950 7492
49 252 9012
49 462 7009
49 615 63
49 997 1522
50 14 9798
50 124 8909
50 221 4032
50 695 10000
50 927 4648
50 996 5499
51 115 4911
51 139 7054
51 157 1230
51 215 9276
51 434 2499
51 452 734
51 604 6077
52 349 157
52 463 7868
52 486 3117
52 577 7658
52 659 3047
52 706 409
53 78 8815
53 86 9098
53 574 1746
53 621 6151
53 718 6723
53 776 6941
53 796 275
53 880 7370
53 996 6279
54 439 1481
54 552 1145
54 718 4127
54 720 4051
54 803 2511
54 892 1203
54 912 5608
55 482 9367
55 534 1151
55 773 3503
55 875 2877
56 570 8996
56 573 759
56 815 648
56 907 4359
57 140 3222
57 601 4046
57 846 2346
57 847 8253
58 405 1679
58 560 9775
58 917 2920
58 973 6772
59 186 6377
59 411 9422
59 778 4065
59 816 6770
59 885 9060
60 508 2380
60 527 2274
60 689 3787
60 883 6247
61 76 8559
61 279 9364
61 320 263
62 409 3793
62 580 5141
62 716 1558
62 889 698
62 932 7776
63 200 1320
63 243 7394
63 350 6958
63 411 105
63 551 1441
63 666 1226
64 635 6088
64 728 995
65 1 3120
65 225 9255
65 278 4206
66 101 8304
66 309 1982
66 425 2404
66 438 8597
66 519 6489
66 811 6477
66 912 7671
66 947 122
66 952 9814
67 36 8963
67 40 8393
67 114 6980
67 748 2710
67 934 4991
68 18 5912
68 546 3773
68 939 5021
68 948 5676
68 976 3163
69 150 9232
69 166 8815
69 316 2032
69 437 2409
69 573 4989
69 892 2564
70 372 4711
70 547 2359
70 622 1350
70 770 7950
71 264 5595
72 2 3691
72 87 4009
72 107 9523
72 131 7280
72 270 4756
72 377 3217
72 550 4686
72 619 9436
72 670 4905
72 882 4860
73 407 4480
73 412 606
73 609 1104
73 776 8889
73 812 3929
73 913 9752
73 956 962
74 84 8285
74 146 1142
74 167 3988
74 371 649
74 863 6874
75 119 3465
75 554 7028
76 147 9109
76 315 5856
76 342 3975
76 790 8253
77 111 9068
77 156 1835
77 256 5465
77 374 8078
77 841 61
77 932 8938
77 964 4658
78 3 2577
78 175 2926
79 130 8525
79 139 8557
79 200 279
79 587 6844
79 597 7645
79 725 7684
79 972 3072
80 43 6403
80 176 6372
80 265 6063
80 305 2100
80 364 199
80 421 2875
80 508 8684
80 548 8537
80 667 8285
80 787 3888
80 807 1756
81 87 1572
81 233 8135
81 313 3686
81 530 8622
81 698 8569
81 754 7939
82 49 8829
82 786 2010
82 926 6921
83 219 9467
83 256 2048
83 381 9779
83 565 3098
83 910 7471
84 11 8837
84 674 6935
84 779 7854
84 840 619
85 109 2840
85 463 1094
85 478 3718
85 507 8939
85 589 6578
85 801 2962
85 923 8585
85 927 2955
85 992 9651
86 258 9967
86 436 1575
86 547 7633
86 623 6185
86 689 3841
86 905 5619
87 52 718
87 274 668
87 430 231
87 470 4114
87 552 5118
87 661 7742
87 675 1521
89 332 4828
89 415 6267
89 963 7918
89 998 6036
90 7 2767
90 99 3476
90 421 3263
90 536 2209
90 690 5437
90 901 8953
91 14 4164
91 105 1280
91 843 3266
92 123 1792
92 321 6650
92 522 2776
92 700 5023
92 721 7299
92 852 7629
93 521 5318
94 75 3923
94 131 7813
94 144 6918
94 538 8284
94 787 1200
94 861 513
95 182 8474
95 533 103
95 670 8804
95 699 9438
95 740 6988
95 824 8582
95 924 5765
95 969 7694
96 124 1099
96 284 5788
96 297 9730
96 411 6303
96 491 6505
96 644 3958
96 767 986
97 69 2576
97 143 4393
97 372 9666
97 658 6431
98 83 3000
98 444 535
98 506 132
98 824 7451
99 333 238
99 778 6765
99 958 7786
100 86 5508
101 484 4898
101 771 3347
101 974 8439
102 455 7939
102 605 6283
103 41 249
103 73 7420
103 106 5478
103 141 5174
103 372 3455
103 630 8119
103 856 8695
103 897 9243
104 81 2318
104 117 5634
104 224 456
104 230 9341
104 880 9177
104 942 5136
105 153 8122
105 270 7356
105 609 9285
105 664 9924
105 917 4841
106 613 5256
106 870 1595
106 981 7555
107 14 7679
107 92 3899
107 211 9146
107 365 6948
107 398 3741
107 731 8144
107 733 1981
107 810 1433
108 283 4318
108 356 4945
108 384 4201
108 633 5728
109 404 8889
109 648 2603
109 840 8272
109 871 587
110 212 2656
110 559 5854
110 879 5464
110 948 9897
111 104 3519
111 116 4210
111 119 1083
111 151 3269
111 256 5697
111 288 5311
111 323 5662
111 536 7813
111 715 7964
112 565 9643
112 668 3152
113 54 5434
113 833 5293
114 218 4563
114 355 4846
114 703 7520
114 705 77
114 787 7511
114 860 9316
115 110 3629
115 126 6328
115 180 572
115 200 9428
115 662 6582
115 720 3479
115 765 2597
115 841 1931
116 63 5010
116 371 4449
116 740 1510
116 935 7216
117 65 306
117 708 6077
117 898 9432
117 992 6199
118 410 4617
118 547 6804
119 61 4531
119 72 951
119 159 1182
119 426 8146
119 584 420
119 660 7232
119 683 2151
119 876 9632
119 891 2999
120 86 3853
120 282 5306
121 408 7168
121 537 9758
121 626 7422
121 735 6270
121 927 3615
122 297 9167
122 529 6352
122 784 7467
122 842 510
122 903 3159
122 939 5764
123 23 9109
123 46 2025
123 58 9564
123 321 152
123 815 3704
123 821 7516
124 130 4535
124 221 950
124 769 7491
125 528 1909
125 581 1974
126 117 3686
126 277 4713
126 321 6144
126 575 9100
126 730 8679
126 777 1205
126 901 3380
127 165 3925
127 266 8230
128 7 9103
128 20 2047
128 125 2078
128 549 5698
128 754 386
128 885 6254
129 514 1454
130 218 3040
130 230 7097
130 480 2278
130 620 8835
131 356 4068
131 655 2850
131 681 3705
131 854 5163
131 896 885
131 930 9685
132 223 1310
132 400 9475
132 878 2616
133 69 2722
133 225 5367
133 293 1787
133 688 9872
133 938 4962
134 609 4785
134 644 6206
134 714 6263
134 801 1027
135 291 5877
